Data,Último
10.07.2024,127.218
09.07.2024,127.108
08.07.2024,126.548
05.07.2024,126.267
04.07.2024,126.164
03.07.2024,125.662
02.07.2024,124.787
01.07.2024,124.718
28.06.2024,123.907
27.06.2024,124.308
26.06.2024,122.641
25.06.2024,122.331
24.06.2024,122.637
21.06.2024,121.341
20.06.2024,120.446
19.06.2024,120.261
18.06.2024,119.63
17.06.2024,119.138
14.06.2024,119.662
13.06.2024,119.568
12.06.2024,119.936
11.06.2024,121.635
10.06.2024,120.76
07.06.2024,120.767
06.06.2024,122.899
05.06.2024,121.407
04.06.2024,121.802
03.06.2024,122.032
31.05.2024,122.098
29.05.2024,122.707
28.05.2024,123.78
27.05.2024,124.496
24.05.2024,124.306
23.05.2024,124.729
22.05.2024,125.65
21.05.2024,127.412
20.05.2024,127.751
17.05.2024,128.151
16.05.2024,128.284
15.05.2024,128.028
14.05.2024,128.515
13.05.2024,128.155
10.05.2024,127.6
09.05.2024,128.188
08.05.2024,129.481
07.05.2024,129.21
06.05.2024,128.466
03.05.2024,128.509
02.05.2024,127.122
30.04.2024,125.924
29.04.2024,127.352
26.04.2024,126.526
25.04.2024,124.646
24.04.2024,124.741
23.04.2024,125.148
22.04.2024,125.573
19.04.2024,125.124
18.04.2024,124.196
17.04.2024,124.171
16.04.2024,124.389
15.04.2024,125.334
12.04.2024,125.946
11.04.2024,127.396
10.04.2024,128.054
09.04.2024,129.89
08.04.2024,128.857
05.04.2024,126.795
04.04.2024,127.428
03.04.2024,127.318
02.04.2024,127.549
01.04.2024,126.99
28.03.2024,128.106
27.03.2024,127.691
26.03.2024,126.863
25.03.2024,126.931
22.03.2024,127.027
21.03.2024,128.159
20.03.2024,129.125
19.03.2024,127.529
18.03.2024,126.954
15.03.2024,126.742
14.03.2024,127.69
13.03.2024,128.006
12.03.2024,127.668
11.03.2024,126.124
08.03.2024,127.071
07.03.2024,128.34
06.03.2024,128.89
05.03.2024,128.098
04.03.2024,128.341
01.03.2024,129.18
29.02.2024,129.02
28.02.2024,130.155
27.02.2024,131.689
26.02.2024,129.609
23.02.2024,129.419
22.02.2024,130.241
21.02.2024,130.032
20.02.2024,129.916
19.02.2024,129.036
16.02.2024,128.726
15.02.2024,127.804
14.02.2024,127.018
09.02.2024,128.026
08.02.2024,128.217
07.02.2024,129.95
06.02.2024,130.416
05.02.2024,127.593
02.02.2024,127.182
01.02.2024,128.481
31.01.2024,127.752
30.01.2024,127.402
29.01.2024,128.503
